,Average Absolute Error,Average Squared Error,RMSE
Naive,0.22369376591742052,0.10651819829556891,0.32637125837850506
LinearReg,0.18893415426970356,0.07445268504674067,0.27286019322492
RandomForest,0.18053593417222322,0.07512998738811888,0.274098499426974
